"JobTitle","skill","countVal"
"","awsyn",1
"2023 STEM Graduate (multiple roles) (VPSG3.1)","mathematicyn",10
"Administrative Assistant","pythonyn",1
"Administrative Assistant","sqlyn",1
"Analyst","excelyn",2
"Analyst","mathematicyn",19
"Analyst","pythonyn",1
"Analyst","ryn",1
"Analyst I","c++yn",1
"Analyst I","excelyn",1
"Analyst I","mathematicyn",1
"Analyst I","statisticyn",1
"Analyst Manager","excelyn",1
"Analyst Manager","mathematicyn",1
"Analyst Manager","pythonyn",1
"Analyst Manager","ryn",1
"Analytics Consultant","c++yn",1
"Analytics Consultant","pythonyn",1
"Analytics Consultant","sasyn",1
"Analytics Consultant","statisticyn",1
"Applications Engineer","sqlyn",1
"APS6, EL1 - High Performance Computing (HPC) and Various Specialist ICT","sqlyn",7
"Associate Applications Engineer","awsyn",1
"Associate Applications Engineer","gityn",1
"Associate Applications Engineer","javascriptyn",1
"Associate Applications Engineer","javayn",1
"Associate Data Analyst","ryn",11
"Associate Director Research Scientist","excelyn",1
"Associate Engineer","pythonyn",14
"Associate Lecturer","pythonyn",1
"Associate Research Assistant","c++yn",25
"Associate Research Assistant","javayn",25
"Associate Research Assistant","juliayn",1
"Associate Research Assistant","mathematicyn",28
"Associate Research Assistant","matlabyn",25
"Associate Research Assistant","pythonyn",27
"Associate Research Assistant","ryn",27
"Associate Research Assistant","statisticyn",26
"Associate Systems Analyst","mathematicyn",4
"Associate Systems Analyst","statisticyn",4
"Biostatistician","ryn",1
"Biostatistician","statisticyn",1
"Business Analyst","excelyn",11
"Business Analyst","mathematicyn",1
"Business Analyst","pythonyn",11
"Business Analyst","sqlyn",14
"Business Analyst","statisticyn",1
"Business Analyst","tableauyn",2
"Caregiver III","mathematicyn",1
"Civil Engineer","statisticyn",1
"Clinical Research Assistant","excelyn",1
"Clinical Research Associate","excelyn",1
"Customer Relations","excelyn",1
"Customer Relations Manager","excelyn",21
"Data Analyst","awsyn",42
"Data Analyst","excelyn",54
"Data Analyst","hadoopyn",28
"Data Analyst","hiveyn",27
"Data Analyst","mathematicyn",31
"Data Analyst","nosqlyn",1
"Data Analyst","powerbiyn",33
"Data Analyst","pythonyn",146
"Data Analyst","ryn",71
"Data Analyst","scalayn",1
"Data Analyst","sparkyn",46
"Data Analyst","sqlyn",161
"Data Analyst","statisticyn",37
"Data Analyst","tableauyn",50
"Data Consultant","awsyn",1
"Data Consultant","powerbiyn",1
"Data Consultant","sqlyn",1
"Data Engineer","awsyn",20
"Data Engineer","c++yn",1
"Data Engineer","excelyn",10
"Data Engineer","gityn",11
"Data Engineer","hadoopyn",1
"Data Engineer","hiveyn",2
"Data Engineer","javayn",16
"Data Engineer","mathematicyn",13
